author	year	paper_id	bee_id	bee_genus	bee_species	top5position	controlled_for_contamination	genus	average_relative_abundance
Cohen	2020	1	1	Osmia	lignaria	Genus_1	Yes	Acinetobacter	0.4124075706
Cohen	2020	1	1	Osmia	lignaria	Genus_2	Yes	Erwinia	0.1386276810
Cohen	2020	1	1	Osmia	lignaria	Genus_3	Yes	Enterobacteriaceae_unclassified	0.1025244080
Cohen	2020	1	1	Osmia	lignaria	Genus_4	Yes	Bacillus	0.0276114969
Cohen	2020	1	1	Osmia	lignaria	Genus_5	Yes	Pantoea	0.0190774816
Cohen	2020	1	1	Osmia	lignaria	Genus_6	Yes	Arsenophonus	0.0175801902
Cohen	2020	1	1	Osmia	lignaria	Genus_7	Yes	uncultured	0.0172765890
Cohen	2020	1	1	Osmia	lignaria	Genus_8	Yes	Burkholderiaceae_unclassified	0.0162874540
Cohen	2020	1	1	Osmia	lignaria	Genus_9	Yes	Hymenobacter	0.0084512393
Cohen	2020	1	1	Osmia	lignaria	Genus_10	Yes	Gluconobacter	0.0078390368
Cohen	2020	1	1	Osmia	lignaria	Genus_11	Yes	Salmonella	0.0075549448
Cohen	2020	1	1	Osmia	lignaria	Genus_12	Yes	Massilia	0.0071687822
Cohen	2020	1	1	Osmia	lignaria	Genus_13	Yes	Mycobacterium	0.0062572301
Cohen	2020	1	1	Osmia	lignaria	Genus_14	Yes	unknown	0.0060458926
Cohen	2020	1	1	Osmia	lignaria	Genus_15	Yes	uncultured bacterium	0.0060075583
Cohen	2020	1	1	Osmia	lignaria	Genus_16	Yes	Methylobacterium	0.0059471135
Cohen	2020	1	1	Osmia	lignaria	Genus_17	Yes	uncultured_unclassified	0.0057832055
Cohen	2020	1	1	Osmia	lignaria	Genus_18	Yes	Chryseobacterium	0.0057280828
Cohen	2020	1	1	Osmia	lignaria	Genus_19	Yes	Streptomyces	0.0055074908
Cohen	2020	1	1	Osmia	lignaria	Genus_20	Yes	Lactobacillus	0.0047064663
Cohen	2020	1	1	Osmia	lignaria	Genus_21	Yes	Variovorax	0.0044402577
Cohen	2020	1	1	Osmia	lignaria	Genus_22	Yes	Fructobacillus	0.0038859601
Cohen	2020	1	1	Osmia	lignaria	Genus_23	Yes	Nevskia	0.0038617270
Cohen	2020	1	1	Osmia	lignaria	Genus_24	Yes	MND1	0.0037315276
Cohen	2020	1	1	Osmia	lignaria	Genus_25	Yes	Methylotenera	0.0034004294
Cohen	2020	1	1	Osmia	lignaria	Genus_26	Yes	Ellin6067	0.0032496350
Cohen	2020	1	1	Osmia	lignaria	Genus_27	Yes	Rhodococcus	0.0028366043
Cohen	2020	1	1	Osmia	lignaria	Genus_28	Yes	Micrococcaceae_unclassified	0.0026050460
Cohen	2020	1	1	Osmia	lignaria	Genus_29	Yes	Bradyrhizobium	0.0025317270
Cohen	2020	1	1	Osmia	lignaria	Genus_30	Yes	Rhizobacter	0.0023934939
Cohen	2020	1	1	Osmia	lignaria	Genus_31	Yes	taxa_unclassified	0.0023071258
Cohen	2020	1	1	Osmia	lignaria	Genus_32	Yes	Perlucidibaca	0.0021908129
Cohen	2020	1	1	Osmia	lignaria	Genus_33	Yes	Acetobacteraceae_unclassified	0.0021554325
Cohen	2020	1	1	Osmia	lignaria	Genus_34	Yes	SC-I-84_unclassified	0.0020651933
Cohen	2020	1	1	Osmia	lignaria	Genus_35	Yes	Pseudonocardia	0.0020386074
Cohen	2020	1	1	Osmia	lignaria	Genus_36	Yes	Stenotrophomonas	0.0019917423
Cohen	2020	1	1	Osmia	lignaria	Genus_37	Yes	Noviherbaspirillum	0.0019875767
Cohen	2020	1	1	Osmia	lignaria	Genus_38	Yes	Terrimonas	0.0019088589
Cohen	2020	1	1	Osmia	lignaria	Genus_39	Yes	Arthrobacter	0.0018074816
Cohen	2020	1	1	Osmia	lignaria	Genus_40	Yes	Cellulomonas	0.0017542086
Cohen	2020	1	1	Osmia	lignaria	Genus_41	Yes	Alkanindiges	0.0017500675
Cohen	2020	1	1	Osmia	lignaria	Genus_42	Yes	Microvirga	0.0017265552
Cohen	2020	1	1	Osmia	lignaria	Genus_43	Yes	Rubellimicrobium	0.0016809448
Cohen	2020	1	1	Osmia	lignaria	Genus_44	Yes	Nitrospira	0.0016632730
Cohen	2020	1	1	Osmia	lignaria	Genus_45	Yes	Candidatus Captivus	0.0015935491
Cohen	2020	1	1	Osmia	lignaria	Genus_46	Yes	metagenome	0.0015904080
Cohen	2020	1	1	Osmia	lignaria	Genus_47	Yes	TRA3-20_unclassified	0.0015646595
Cohen	2020	1	1	Osmia	lignaria	Genus_48	Yes	Amaricoccus	0.0015525644
