Genus,colours,,,
Other,grey,,,
Actinomyces,#FF0000,,,
Propionibacterium,#FF1100,,,
Porphyromonas,#FF2200,,,
Capnocytophaga,#FF3300,,,
Pedobacter,#FF4400,,,
Brevibacillus,#FF5500,,,
Abiotrophia,#FF6600,,,
Lactobacillus,#CC0099,,,
Coprococcus,#FF8800,,,
Veillonella,#FF9900,,,
Brevundimonas,#FFAA00,,,
Rhizobium,#FFCC00,,,
Roseomonas,#FFDD00,,,
Sphingomonas,#FFEE00,,,
Acidovorax,#FF1A1A,,,
Cupriavidus,#FF2A2A,,,
Janthinobacterium,#FF3A3A,,,
Ralstonia,#FF4A4A,,,
Escherichia,#FF5A5A,,,
Enhydrobacter,#FF6A6A,,,
Xanthomonas,#FF7A7A,,,
Corynebacterium,#FF8A8A,,,
Atopobium,#FF9A9A,,,
Prevotella,#FFAAAA,,,
Chryseobacterium,#FFBABE,,,
UnclassifiedTM7,#FFCAAA,,,
Paenibacillus,#FFDAAA,,,
Granulicatella,#FFEAFA,,,
Streptococcus,#FF0A1A,,,
Anaerococcus,#FF1A2A,,,
Fusobacterium,#FF2A3A,,,
Afipia,#FF3A4A,,,
Mesorhizobium,#FF4A5A,,,
Methylobacterium,#FF5A6A,,,
Novosphingobium,#FF6A7A,,,
Achromobacter,#FF7A8A,,,
Comamonas,#FF8A9A,,,
Duganella,#FF9AAA,,,
Massilia,#FFAA1A,,,
Leptothrix,#FFBA1A,,,
Haemophilus,#FFCA2A,,,
Pseudomonas,#FFDA3A,,,
Arthrobacter,#FFEA4A,,,
Sediminibacterium,#FF0A5A,,,
Flavobacterium,#FF2A7A,,,
Bacillus,#FF3A8A,,,
Staphylococcus,#FF4A9A,,,
Enterococcus,#FF5AAA,,,
Clostridium,#FF6ABA,,,
Dialister,#FF7ACA,,,
Leptotrichia,#FF8ADA,,,
Bradyrhizobium,#FF9AEA,,,
Phyllobacterium,#FF0A0A,,,
Sphingobium,#FF1A1A,,,
Burkholderia,#FF2A2A,,,
Curvibacter,#FF3A3A,,,
Herbaspirillum,#FF4A4A,,,
Oxalobacter,#FF5A5A,,,
kingella,#FF6A6A,,,
Acinetobacter,#6251E1,,,
Stenotrophomonas,#FF8A8A,,,
Rothia,#FF9A9A,,,
Geobacillus,#FFAA1A,,,
Megasphaera,#FFBA1A,,,
Devosia,#FFCA2A,,,
Pelomonas,#FFDA3A,,,
Neisseria,#FFEA4A,,,
Apilactobacillus,#1F77B4,,,
Bifidobacterium,#8C564B,,,
Neokomagataea,#00FFCC,,,
Bombiscardovia,#C49C94,,,
Enterobacter,#FF7F0E,,,
Enterobacteriaceae_unclassified,#FFBB78,,,
Entomomonas,#E377C2,,,
Fructobacillus,#7F7F7F,,,
Gilliamella,#BCBD22,,,
Lactobacillales_unclassified,#17BECF,,,
Bombilactobacillus,#FF9896,,,
Entomoplasmatales_unclassified,#DBDB8D,,,
Pantoea,#C5B0D5,,,
PCT,#C00000,,,
Rosenbergiella,#0000FF,,,
Saccharibacter,#9933FF,,,
Sodalis,#98DF8A,,,
Weissella,#2CA02C,,,
Wolbachia,#F7B6D2,,,
