Study_ID	Year	Title	Journal_published_in	Research_area	Insect_order	Insect_family	Development_stage	Target_community_of_microbiome	Sampled	Surface_sterilized	DNA_extraction_kit_used	16S_rRNA_gene_target_region	Did_they_use_negative_controls	What_type(s)	Is_it_reported_how_many_they_did_(blanks/total_samples)	Do_they_report_the_outcome_of_the_negative_controls	Did_they_sequence_the_negative_controls	What_was_the_reason_for_not_sequencing	Was_there_a_comparison_with_their_samples_to_control_for_contamination	How	Did_they_use_qPCR_in_tandem	Do_they_determine_the_limit_of_detection	Relic_DNA	Transient_bacteria	Animal/plant_DNA	Contamination	Is_the_DNA_sequencing_data_publicly_available	If_yes,_accession_code:	is_referenced_by_count
Agany	2020	MICROBIOME_DIFFERENCES_BETWEEN_HUMAN_HEAD_AND_BODY_LICE_ECOTYPES_REVEALED_BY_16S_RRNA_GENE_AMPLICON_SEQUENCING	Journal_of_Parasitology	Parasitology	Psocodea	Pediculidae	Adults	Body	Whole	No	Qiagen	V4	Yes	EBCs	No	No	NA	Not_given	No	NA	No	NA	Yes	Yes	No	Yes	No	PRJNA548959	6
Agarwal	2022	In_Vitro_Studies_Reveal_that_Pseudomonas,_from_Odontotermes_obesus_Colonies,_can_Function_as_a_Defensive_Mutualist_as_it_Prevents_the_Weedy_Fungus_While_Keeping_the_Crop_Fungus_Unaffected	ENVIRONMENTAL_MICROBIOLOGY	Microbiology	Blattodea	Termitidae	>1_developmental_stage	Body	Whole	Yes	Protocol	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	Yes	Yes	NCBI_SAMN14208512â€”SAMN14208517	0
Aksoy	2014	Analysis_of_multiple_tsetse_fly_populations_in_Uganda_reveals_limited_diversity_and_species-specific_gut_microbiota	Applied_and_Environmental_Microbiology	Microbiology	Diptera	Glossinidae	Adults	Gut	Gut	Yes	Epicentre	V4	Yes	EBCs	Per_batch	No	No	Not_given	No	NA	Yes	No	No	No	No	Yes	No	No	79
Aleknavičius	2022	The_bacterial_microbiota_of_edible_insects_Acheta_domesticus_and_Gryllus_assimilis_revealed_by_high_content_analysis	Foods	Microbiome	Orthoptera	Gryllidae	Adults	Both	Whole	Yes	Thermo_Fisher	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	Yes	Yes	PRJNA806726	8
AlNaggar	2022	Bees_under_interactive_stressors:_the_novel_insecticides_flupyradifurone_and_sulfoxaflor_along_with_the_fungicide_azoxystrobin_disrupt_the_gut_microbiota_of_honey_bees_and_increase_opportunistic_bacterial_pathogens	Science_of_the_Total_Environment	Melittology	Hymenoptera	Apidae	Adults	Gut	Gut	No	ZymoBIOMICS	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	22
Anderson	2018	The_queen's_gut_refines_with_age:_longevity_phenotypes_in_a_social_insect_model	Microbiome	Microbiome	Hymenoptera	Apidae	Adults	Gut	Gut	No	Protocol	V6-V8	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	Yes	PRJNA438524	3
Arp	2022	The_microbiome_of_wild_and_mass-reared_new_world_screwworm,_Cochliomyia_hominivorax	Scientific_Reports	Microbiome	Diptera	Calliphoridae	>1_developmental_stage	Both	Whole_and_Gut	Yes	ZymoBIOMICS	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	Yes	PRJNA758387	2
Ashigar	2021	16S_rDNA_metabarcoding_of_the_bacterial_community_associated_with_workers_of_Pheidole_rugaticeps_Emery_(Hymenoptera:_Formicidae)	Journal_of_Asia-Pacific_Entomology	Entomology	Hymenoptera	Formicidae	Adults	Body	Whole	Yes	Real_Biotech_Corporation	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	Yes	Yes	PRJNA609841	2
Łukasik	2017	The_structured_diversity_of_specialized_gut_symbionts_of_the_New_World_army_ants	Molecular_Ecology	Microbiology	Hymenoptera	Formicidae	Adults	Gut	Gut	Yes	Qiagen	V4	Yes	EBCs	1/10	Yes	Yes	NA	Yes	Heuristically	No	NA	No	No	No	Yes	Yes	PRJNA341802	1
Ayayee	2018	Gut_bacterial_assemblages_of_freshwater_macroinvertebrate_functional_feeding_groups	Hydrobiologia	Freshwater_environments	Multiple	Multiple	Adults	Gut	Whole	Yes	MoBio_Laboratories	V4-V5	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJNA390922	11
